Country;Region;Population;Latitude;Longitude;Area (sq. mi.);Pop. Density (per sq. mi.);Coastline (coast/area ratio);Net migration;Infant mortality (per 1000 births);GDP ($ per capita);Literacy (%);Phones (per 1000);Arable (%);Crops (%);Other (%);Climate;Birthrate;Deathrate;Agriculture;Industry;Service
Colombia;LATIN AMER. & CARIB    ;43593035;4.5709; -74.2973;1138910;38.3;0.28;-0.31;20.97;6300;92.5;176.2;2.42;1.67;95.91;2;20.48;5.58;0.125;0.342;0.533
South Africa;SUB-SAHARAN AFRICA                 ;44187637;-30.5595; 22.9375;1219912;36.2;0.23;-0.29;61.81;10700;86.4;107;12.08;0.79;87.13;1;18.2;22;0.025;0.303;0.671
Ukraine;C.W. OF IND. STATES ;46710816;48.3794; 31.1656;603700;77.4;0.46;-0.39;20.34;5400;99.7;259.9;56.21;1.61;42.18;3;8.82;14.39;0.187;0.452;0.361
Burma;ASIA (EX. NEAR EAST)         ;47382633;21.9162; 95.956;678500;69.8;0.28;-1.8;67.24;1800;85.3;10.1;15.19;0.97;83.84;2;17.91;9.83;0.564;0.082;0.353
South Korea; South ;48846823;35.907757; 127.766922;98480;496;2.45;0;7.05;17800;97.9;486.1;17.18;1.95;80.87;3;10;5.85;0.033;0.403;
Italy;WESTERN EUROPE                     ;58133509;41.87194; 12.56738;301230;193;2.52;2.07;5.94;26700;98.6;430.9;27.79;9.53;62.68;;8.72;10.4;0.021;0.291;0.688
United Kingdom;WESTERN EUROPE                     ;60609153;55.3781; -3.436;244820;247.6;5.08;2.19;5.16;27700;99;543.5;23.46;0.21;76.33;3;10.71;10.13;0.005;0.237;0.758
France;WESTERN EUROPE                     ;60876136;46.2276; 2.2137;547030;111.3;0.63;0.66;4.26;27600;99;586.4;33.53;2.07;64.4;4;11.99;9.14;0.022;0.214;0.764
Dem. Rep. Cong; Dem. Rep. ;62660551;-4.0383; 21.7587;2345410;26.7;0;0;94.69;700;65.5;0.2;2.96;0.52;96.52;2;43.69;13.27;0.55;0.11;
Thailand;ASIA (EX. NEAR EAST)         ;64631595;15.870032; 100.992541;514000;125.7;0.63;0;20.48;7400;92.6;108.9;29.36;6.46;64.18;2;13.87;7.04;0.099;0.441;0.46
Iran;ASIA (EX. NEAR EAST)         ;68688433;32.427908; 53.688046;1648000;41.7;0.15;-0.84;41.58;7000;79.4;276.4;8.72;1.39;89.89;1;17;5.55;0.116;0.424;0.46
Turkey;NEAR EAST                          ;70413958;38.9637; 35.2433;780580;90.2;0.92;0;41.04;6700;86.5;269.5;30.93;3.31;65.76;3;16.62;5.97;0.117;0.298;0.585
Ethiopia;SUB-SAHARAN AFRICA                 ;74777981;9.145; 40.4897;1127127;66.3;0;0;95.32;700;42.7;8.2;10.71;0.75;88.54;2;37.98;14.86;0.475;0.099;0.426
Egypt;NORTHERN AFRICA                    ;78887007;26.820553; 30.802498;1001450;78.8;0.24;-0.22;32.59;4000;57.7;131.8;2.87;0.48;96.65;1;22.94;5.23;0.149;0.357;0.493
Germany;WESTERN EUROPE                     ;82422299;51.165691; 10.451526;357021;230.9;0.67;2.18;4.16;27600;99;667.9;33.85;0.59;65.56;3;8.25;10.62;0.009;0.296;0.695
Vietnam;ASIA (EX. NEAR EAST)         ;84402966;14.058324; 108.277199;329560;256.1;1.05;-0.45;25.95;2500;90.3;187.7;19.97;5.95;74.08;2;16.86;6.22;0.209;0.41;0.381
Philippines;ASIA (EX. NEAR EAST)         ;89468677;12.879721; 121.774017;300000;298.2;12.1;-1.5;23.51;4600;92.6;38.4;18.95;16.77;64.28;2;24.89;5.41;0.144;0.326;0.53
Mexico;LATIN AMER. & CARIB    ;107449525;23.6345; -102.5528;1972550;54.5;0.47;-4.87;20.91;9000;92.2;181.6;12.99;1.31;85.7;1.5;20.69;4.74;0.038;0.259;0.702
Japan;ASIA (EX. NEAR EAST)         ;127463611;36.204824; 138.252924;377835;337.4;7.87;0;3.26;28200;99;461.2;12.19;0.96;86.85;3;9.37;9.16;0.017;0.258;0.725
Nigeria;SUB-SAHARAN AFRICA                 ;131859731;9.082; 8.6753;923768;142.7;0.09;0.26;98.8;900;68;9.3;31.29;2.96;65.75;1.5;40.43;16.94;0.269;0.487;0.244
Russia;C.W. OF IND. STATES ;142893540;61.52401; 105.318756;17075200;8.4;0.22;1.02;15.39;8900;99.6;280.6;7.33;0.11;92.56;;9.95;14.65;0.054;0.371;0.575
Bangladesh;ASIA (EX. NEAR EAST)         ;147365352;23.685; 90.3563;144000;1023.4;0.4;-0.71;62.6;1900;43.1;7.3;62.11;3.07;34.82;2;29.8;8.27;0.199;0.198;0.603
Pakistan;ASIA (EX. NEAR EAST)         ;165803560;30.3753; 69.3451;803940;206.2;0.13;-2.77;72.44;2100;45.7;31.8;27.87;0.87;71.26;1;29.74;8.23;0.216;0.251;0.533
Brazil;LATIN AMER. & CARIB    ;188078227;-14.235; -51.9253;8511965;22.1;0.09;-0.03;29.61;7600;86.4;225.3;6.96;0.9;92.15;2;16.56;6.17;0.084;0.4;0.516
Indonesia;ASIA (EX. NEAR EAST)         ;245452739;-0.7893; 113.9213;1919440;127.9;2.85;0;35.6;3200;87.9;52;11.32;7.23;81.45;2;20.34;6.25;0.134;0.458;0.408
United States;NORTHERN AMERICA                   ;298444215;40.0; -100.0;9631420;31;0.21;3.41;6.5;37800;97;898;19.13;0.22;80.65;3;14.14;8.26;0.01;0.204;0.787
India;ASIA (EX. NEAR EAST)         ;1095351995;20.593684; 78.96288;3287590;333.2;0.21;-0.07;56.29;2900;59.5;45.4;54.4;2.74;42.86;2.5;22.01;8.18;0.186;0.276;0.538
China;ASIA (EX. NEAR EAST)         ;1313973713;40.1824; 116.4142;9596960;136.9;0.15;-0.4;24.18;5000;90.9;266.7;15.4;1.25;83.35;1.5;13.25;6.97;0.125;0.473;0.403
